TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
SOX13	-0.035	5.140e-01	0.290	0.664	0.442	3.716e-01
NCAPH2	0.623	2.666e-01	-0.960	0.687	0.444	3.755e-01
E2F7	-0.678	7.510e-01	-1.260	0.774	0.445	3.778e-01
ZBTB8A	0.584	2.796e-01	-0.787	0.680	0.445	3.778e-01
SIX4	-0.084	5.335e-01	0.736	0.648	0.446	3.794e-01
TCF7L2	-0.630	7.358e-01	-1.063	0.755	0.447	3.825e-01
ZNF695	0.377	3.532e-01	-0.582	0.678	0.448	3.833e-01
BANP	-0.221	5.875e-01	0.159	0.675	0.449	3.856e-01
ZNF488	-0.178	5.706e-01	0.659	0.656	0.449	3.864e-01
FEZF1	-0.250	5.985e-01	0.941	0.652	0.449	3.872e-01
CLOCK	-0.583	7.202e-01	0.191	0.688	0.450	3.896e-01
ZBTB17	-0.278	6.095e-01	-1.261	0.744	0.451	3.903e-01
GFI1B	-0.222	5.878e-01	-0.040	0.683	0.451	3.911e-01
APOBEC3B	0.010	4.961e-01	0.341	0.654	0.453	3.943e-01
ZNF138	0.066	4.736e-01	0.112	0.658	0.453	3.943e-01
CTCFL	0.124	4.507e-01	-0.141	0.669	0.453	3.958e-01
ZNF423	0.447	3.274e-01	-0.769	0.680	0.454	3.966e-01
REST	-7.533	1.000e+00	-0.085	0.799	0.454	3.974e-01
H2AFX	-0.867	8.072e-01	1.277	0.669	0.454	3.982e-01
BRD3	1.443	7.451e-02	-3.717	0.733	0.455	3.998e-01
ZNF605	-0.274	6.080e-01	1.319	0.637	0.457	4.037e-01
BRPF3	1.619	5.276e-02	-4.146	0.727	0.458	4.061e-01
TBL1X	0.376	3.534e-01	-0.699	0.678	0.459	4.085e-01
KDM5C	1.054	1.459e-01	-2.787	0.731	0.459	4.093e-01
EP400	0.528	2.988e-01	-1.043	0.688	0.460	4.101e-01
ZNF549	-0.373	6.453e-01	1.897	0.632	0.460	4.109e-01
LEF1	0.114	4.546e-01	-2.392	0.777	0.462	4.140e-01
NFATC1	0.693	2.442e-01	-3.036	0.758	0.462	4.140e-01
FXR1	0.961	1.682e-01	-2.467	0.721	0.466	4.228e-01
CUX1	-0.810	7.910e-01	-0.235	0.706	0.466	4.236e-01
ELK3	1.027	1.521e-01	-2.792	0.727	0.466	4.236e-01
HJURP	0.234	4.075e-01	-0.498	0.669	0.466	4.244e-01
MAPK1	0.791	2.144e-01	-2.703	0.740	0.467	4.260e-01
ZSCAN20	0.084	4.666e-01	-0.103	0.659	0.467	4.268e-01
DMC1	-0.557	7.113e-01	2.988	0.621	0.468	4.292e-01
ZNF350	0.268	3.944e-01	-0.621	0.671	0.469	4.308e-01
ZFP37	0.499	3.091e-01	-0.932	0.677	0.471	4.348e-01
VDR	-0.960	8.315e-01	-1.507	0.790	0.472	4.364e-01
NCAPG2	-0.393	6.529e-01	1.356	0.630	0.472	4.380e-01
CSDE1	0.365	3.576e-01	-0.797	0.675	0.473	4.396e-01
TFAP2C	-1.185	8.820e-01	-0.268	0.718	0.475	4.444e-01
SIX1	-0.621	7.327e-01	0.297	0.669	0.479	4.524e-01
ZNF48	-0.165	5.657e-01	0.367	0.644	0.480	4.549e-01
KDM4C	0.793	2.139e-01	-2.058	0.707	0.480	4.557e-01
SATB1	-1.265	8.971e-01	-0.353	0.723	0.481	4.565e-01
TBP	0.799	2.123e-01	-6.342	0.759	0.481	4.565e-01
FAM208A	1.113	1.329e-01	-3.250	0.724	0.481	4.581e-01
LRWD1	-0.489	6.877e-01	1.648	0.625	0.481	4.581e-01
ZNF671	0.032	4.871e-01	-0.153	0.656	0.482	4.597e-01
KLF4	-0.621	7.328e-01	-0.504	0.698	0.485	4.653e-01
NOTCH1	0.165	4.344e-01	-2.319	0.746	0.486	4.686e-01
REL	0.631	2.641e-01	-2.119	0.714	0.486	4.694e-01
ZFP69B	0.500	3.086e-01	-1.269	0.683	0.486	4.694e-01
E2F6	0.442	3.294e-01	-2.528	0.739	0.487	4.710e-01
SP3	0.884	1.884e-01	-2.053	0.696	0.489	4.742e-01
PRDM11	0.034	4.864e-01	-2.203	0.747	0.490	4.782e-01
CHD2	0.814	2.079e-01	-3.129	0.731	0.492	4.815e-01
AUTS2	1.068	1.428e-01	-4.434	0.731	0.492	4.831e-01
HDAC8	0.598	2.748e-01	-1.491	0.688	0.492	4.831e-01
BRD1	1.063	1.438e-01	-4.262	0.730	0.493	4.847e-01
ZNF202	-0.749	7.730e-01	-0.926	0.719	0.494	4.871e-01
WT1	0.087	4.655e-01	-0.648	0.665	0.495	4.888e-01
NBN	0.285	3.878e-01	-1.389	0.692	0.496	4.904e-01
EP300	-4.841	1.000e+00	-0.307	0.766	0.497	4.928e-01
NKRF	0.888	1.873e-01	-3.003	0.719	0.497	4.936e-01
ZNF654	-0.600	7.257e-01	1.171	0.629	0.498	4.944e-01
ZFP28	-0.681	7.521e-01	1.255	0.631	0.498	4.944e-01
BATF3	-0.357	6.395e-01	0.524	0.633	0.498	4.944e-01
HSF1	0.232	4.082e-01	-3.277	0.767	0.499	4.968e-01
ZNF786	0.250	4.014e-01	-0.981	0.670	0.501	5.017e-01
ZBTB7A	0.634	2.631e-01	-2.924	0.731	0.501	5.025e-01
BMI1	-2.190	9.857e-01	-0.638	0.751	0.501	5.025e-01
DEK	-0.053	5.211e-01	-0.837	0.678	0.503	5.057e-01
ZNF197	0.386	3.498e-01	-1.214	0.673	0.503	5.065e-01
ZEB1	0.363	3.582e-01	-1.982	0.714	0.504	5.082e-01
ZNF692	0.325	3.728e-01	-1.090	0.671	0.504	5.090e-01
KAT7	1.015	1.551e-01	-5.176	0.726	0.505	5.114e-01
SMC3	-2.004	9.775e-01	1.048	0.683	0.506	5.130e-01
AGO1	-0.457	6.762e-01	-0.879	0.694	0.506	5.138e-01
ARID2	0.947	1.719e-01	-3.455	0.717	0.506	5.138e-01
ARID5B	0.435	3.318e-01	-1.396	0.682	0.507	5.146e-01
ZNF664	-0.277	6.091e-01	0.046	0.644	0.509	5.195e-01
ERCC6	-0.293	6.152e-01	-1.498	0.720	0.510	5.227e-01
MLLT3	0.087	4.654e-01	-0.720	0.659	0.510	5.227e-01
SCML2	0.024	4.906e-01	-1.484	0.702	0.510	5.235e-01
WRNIP1	0.115	4.541e-01	-0.777	0.661	0.511	5.243e-01
RBPJ	-0.270	6.064e-01	-2.025	0.741	0.514	5.308e-01
BIRA	-0.710	7.612e-01	-0.026	0.664	0.514	5.324e-01
TAT	-0.133	5.528e-01	-0.217	0.645	0.515	5.332e-01
ZNF611	-0.122	5.485e-01	-0.298	0.646	0.516	5.356e-01
CBX8	-0.114	5.454e-01	-2.148	0.735	0.516	5.364e-01
ARID3A	-0.747	7.724e-01	0.579	0.637	0.518	5.397e-01
AFF1	-0.543	7.063e-01	-1.799	0.739	0.521	5.461e-01
CTCF	-16.068	1.000e+00	0.020	0.733	0.521	5.469e-01
MYBL2	-0.116	5.463e-01	-0.418	0.646	0.523	5.517e-01
NFIL3	-0.478	6.835e-01	0.359	0.626	0.523	5.517e-01
ZNF585B	-0.589	7.219e-01	0.259	0.637	0.524	5.549e-01
SUZ12	-2.829	9.977e-01	-0.618	0.745	0.525	5.557e-01
ATF3	-0.907	8.178e-01	-1.849	0.757	0.526	5.573e-01
JUND	-2.482	9.935e-01	-1.041	0.767	0.526	5.582e-01
GATA6	-3.553	9.998e-01	1.128	0.689	0.526	5.582e-01
TFAP4	-0.397	6.544e-01	-0.454	0.661	0.527	5.598e-01
TRIM28	-4.217	1.000e+00	-0.114	0.730	0.527	5.606e-01
CDC5L	0.223	4.120e-01	-1.174	0.666	0.527	5.606e-01
ZNF287	-0.624	7.335e-01	0.787	0.617	0.527	5.606e-01
TET2	-2.804	9.975e-01	-1.352	0.803	0.528	5.630e-01
OSR2	-0.482	6.850e-01	-0.157	0.650	0.528	5.638e-01
YAP1	-2.978	9.986e-01	-1.048	0.776	0.529	5.646e-01
SIRT1	-1.674	9.529e-01	0.508	0.677	0.529	5.646e-01
RCOR1	-0.432	6.672e-01	-1.486	0.712	0.530	5.662e-01
RXRA	-1.024	8.472e-01	-1.043	0.714	0.530	5.662e-01
ZNF519	0.044	4.824e-01	-0.864	0.656	0.531	5.686e-01
H2AZ	-0.262	6.033e-01	-4.764	0.796	0.531	5.694e-01
GLIS1	-0.640	7.390e-01	-1.526	0.726	0.531	5.694e-01
ZNF674	0.170	4.326e-01	-1.144	0.665	0.531	5.702e-01
MYNN	0.077	4.691e-01	-1.769	0.696	0.535	5.789e-01
CENPT	-1.012	8.443e-01	2.374	0.597	0.535	5.789e-01
ZNF768	-0.137	5.544e-01	-0.543	0.645	0.536	5.813e-01
TRIM24	-1.109	8.662e-01	-1.975	0.769	0.537	5.837e-01
SS18	-0.239	5.944e-01	-1.558	0.703	0.538	5.845e-01
ZFP2	0.268	3.942e-01	-1.385	0.669	0.538	5.861e-01
PRDM6	-0.623	7.333e-01	0.516	0.617	0.539	5.877e-01
ZNF280A	-0.917	8.205e-01	1.300	0.602	0.540	5.901e-01
SMARCC2	0.185	4.266e-01	-1.249	0.662	0.541	5.917e-01
HDAC4	-0.131	5.520e-01	-0.638	0.646	0.542	5.940e-01
SP4	0.356	3.609e-01	-1.580	0.673	0.542	5.948e-01
INTS11	0.270	3.936e-01	-1.757	0.683	0.543	5.956e-01
ZNF273	0.138	4.453e-01	-1.234	0.663	0.543	5.964e-01
ZNF765	-0.757	7.756e-01	0.712	0.610	0.544	5.972e-01
PPARG	-2.357	9.908e-01	-0.871	0.739	0.544	5.980e-01
MXI1	0.822	2.054e-01	-4.050	0.706	0.544	5.988e-01
MYH11	-0.073	5.293e-01	-2.808	0.737	0.544	5.988e-01
RAD51	-0.350	6.367e-01	-1.357	0.691	0.545	5.996e-01
ZNF644	0.180	4.287e-01	-1.452	0.672	0.545	6.004e-01
SOX2	-5.426	1.000e+00	-0.625	0.743	0.545	6.011e-01
ATF2	-1.365	9.139e-01	-1.395	0.740	0.546	6.035e-01
KLF1	0.180	4.288e-01	-3.066	0.727	0.546	6.035e-01
FOXP2	0.139	4.448e-01	-1.358	0.668	0.547	6.051e-01
SMARCC1	-1.412	9.210e-01	-0.659	0.699	0.548	6.074e-01
ZNF366	-0.215	5.853e-01	-0.939	0.663	0.550	6.106e-01
TP73	-2.505	9.939e-01	-0.600	0.723	0.550	6.114e-01
ZNF438	-0.311	6.220e-01	-0.987	0.669	0.551	6.129e-01
GRIP1	-0.954	8.300e-01	-0.069	0.651	0.551	6.145e-01
ZNF93	-0.350	6.367e-01	-0.345	0.633	0.553	6.169e-01
ZNF440	-0.934	8.248e-01	1.026	0.601	0.553	6.176e-01
GTF2A2	-0.160	5.635e-01	-0.719	0.644	0.555	6.215e-01
MBTD1	0.603	2.732e-01	-2.846	0.693	0.557	6.262e-01
GATA4	-5.197	1.000e+00	-0.479	0.729	0.557	6.270e-01
BCLAF1	-0.172	5.683e-01	-1.703	0.693	0.557	6.270e-01
TBL1XR1	-0.177	5.701e-01	-1.614	0.690	0.558	6.293e-01
SETD1A	0.560	2.877e-01	-2.404	0.686	0.559	6.301e-01
HES2	-1.656	9.512e-01	0.541	0.654	0.559	6.309e-01
ZNF394	0.150	4.404e-01	-1.513	0.668	0.562	6.378e-01
ZNF585A	-0.423	6.638e-01	-0.322	0.629	0.563	6.386e-01
CHD4	-0.074	5.296e-01	-1.622	0.682	0.563	6.394e-01
ZNF292	-0.534	7.032e-01	-0.142	0.623	0.563	6.401e-01
EZH2	-6.294	1.000e+00	-0.647	0.735	0.564	6.409e-01
PRDM12	-0.821	7.943e-01	0.424	0.607	0.564	6.417e-01
HIC1	0.047	4.811e-01	-1.358	0.662	0.564	6.417e-01
ZNF788	-0.645	7.407e-01	-0.208	0.635	0.565	6.448e-01
CBX2	-0.547	7.077e-01	-0.160	0.622	0.566	6.463e-01
KLF6	0.574	2.831e-01	-2.934	0.691	0.567	6.486e-01
PRAME	0.361	3.589e-01	-2.016	0.677	0.569	6.524e-01
GLIS2	0.231	4.087e-01	-1.830	0.671	0.570	6.547e-01
PAX6	-1.216	8.879e-01	-0.400	0.669	0.571	6.562e-01
MLLT1	-0.119	5.474e-01	-3.050	0.726	0.571	6.570e-01
ZNF281	0.394	3.468e-01	-2.267	0.679	0.571	6.570e-01
KLF17	0.270	3.938e-01	-1.852	0.670	0.572	6.585e-01
HMGN3	0.494	3.106e-01	-2.529	0.685	0.573	6.600e-01
RNF2	-2.329	9.901e-01	-1.311	0.742	0.573	6.608e-01
ZNF140	-1.198	8.846e-01	0.142	0.635	0.573	6.608e-01
ZNF16	-0.487	6.868e-01	-0.966	0.661	0.573	6.608e-01
ATF4	-2.654	9.960e-01	-0.041	0.686	0.574	6.638e-01
ZNF354C	-0.651	7.423e-01	-0.037	0.615	0.575	6.645e-01
JUNB	-1.620	9.474e-01	-2.212	0.771	0.578	6.721e-01
SMAD4	-1.145	8.739e-01	-1.051	0.689	0.582	6.788e-01
HLTF	0.103	4.590e-01	-1.718	0.664	0.583	6.810e-01
INTS12	0.442	3.293e-01	-2.582	0.682	0.583	6.810e-01
KDM1A	-2.430	9.925e-01	-2.518	0.850	0.583	6.818e-01
SMARCA4	-1.520	9.358e-01	-3.845	0.967	0.583	6.825e-01
MAF	-0.692	7.557e-01	-2.338	0.726	0.584	6.832e-01
RELA	-3.001	9.987e-01	-1.925	0.797	0.584	6.840e-01
MAX	-0.780	7.822e-01	-4.088	0.771	0.584	6.840e-01
RUNX2	-1.006	8.429e-01	-0.374	0.646	0.586	6.877e-01
PBX1	-0.661	7.455e-01	-1.807	0.703	0.586	6.884e-01
MED12	-0.594	7.238e-01	-2.036	0.708	0.587	6.891e-01
CDK8	-0.120	5.476e-01	-3.849	0.727	0.587	6.899e-01
ZMYND8	-0.245	5.967e-01	-2.301	0.701	0.587	6.906e-01
MAZ	0.195	4.227e-01	-3.117	0.699	0.588	6.913e-01
ZNF707	-1.093	8.629e-01	-0.431	0.653	0.588	6.921e-01
INTS3	-0.000	5.001e-01	-1.430	0.653	0.589	6.935e-01
LMNA	-1.411	9.209e-01	0.286	0.628	0.591	6.972e-01
PMEL	-0.275	6.084e-01	-2.389	0.700	0.595	7.066e-01
ZNF573	-0.592	7.230e-01	-0.456	0.619	0.596	7.073e-01
ZNF84	-0.788	7.846e-01	-0.131	0.609	0.597	7.095e-01
RAD21	-5.696	1.000e+00	0.157	0.677	0.598	7.124e-01
CBFB	-0.188	5.746e-01	-3.556	0.721	0.601	7.174e-01
SF1	-0.720	7.641e-01	-0.284	0.612	0.601	7.188e-01
PDX1	-1.379	9.161e-01	0.362	0.610	0.603	7.223e-01
ZNF341	0.079	4.686e-01	-1.853	0.661	0.604	7.237e-01
DPF2	-1.114	8.673e-01	-0.973	0.670	0.605	7.258e-01
ZNF248	-1.108	8.661e-01	0.341	0.591	0.605	7.265e-01
NUP98-HOXA9	-1.314	9.056e-01	0.888	0.572	0.606	7.279e-01
NFATC3	-0.184	5.730e-01	-1.275	0.642	0.606	7.279e-01
PGR	-0.989	8.386e-01	0.059	0.598	0.607	7.293e-01
SSRP1	-1.219	8.885e-01	-1.088	0.679	0.607	7.300e-01
RFX1	-1.396	9.187e-01	-3.135	0.772	0.607	7.300e-01
ZNF468	-0.178	5.708e-01	-1.311	0.643	0.608	7.307e-01
TARDBP	-0.309	6.212e-01	-1.924	0.681	0.608	7.314e-01
HEY1	0.512	3.043e-01	-4.519	0.689	0.609	7.328e-01
H3F3B	-0.924	8.221e-01	-0.076	0.602	0.609	7.335e-01
ZNF781	-1.411	9.209e-01	0.069	0.621	0.609	7.342e-01
KDM6A	-0.392	6.524e-01	-1.015	0.631	0.610	7.349e-01
CEBPB	-7.956	1.000e+00	-0.373	0.692	0.610	7.356e-01
DAXX	-1.013	8.446e-01	-0.185	0.615	0.610	7.363e-01
TAL1	-7.626	1.000e+00	-2.281	0.809	0.612	7.390e-01
SON	-0.486	6.866e-01	-0.903	0.626	0.613	7.418e-01
FOS	-3.260	9.994e-01	-1.514	0.741	0.615	7.452e-01
PLRG1	-1.343	9.103e-01	0.265	0.603	0.615	7.452e-01
KMT2B	-0.561	7.124e-01	-0.820	0.621	0.619	7.519e-01
BCL11A	-0.982	8.370e-01	-1.557	0.685	0.621	7.560e-01
ATF7IP	-1.200	8.849e-01	-0.802	0.655	0.621	7.560e-01
HOXC9	-1.613	9.467e-01	0.647	0.588	0.622	7.580e-01
MCM2	-1.279	8.995e-01	0.410	0.576	0.623	7.600e-01
ZNF335	-0.029	5.114e-01	-1.922	0.655	0.623	7.606e-01
TP53	-5.076	1.000e+00	-1.661	0.749	0.624	7.619e-01
FOSL1	-2.460	9.931e-01	-1.733	0.734	0.625	7.646e-01
RUNX1	-5.766	1.000e+00	-2.895	0.868	0.626	7.652e-01
POLR2H	-0.080	5.317e-01	-1.843	0.652	0.627	7.678e-01
ZNF808	-1.569	9.417e-01	1.201	0.543	0.628	7.685e-01
ZNF675	-1.090	8.621e-01	-0.070	0.593	0.629	7.711e-01
BCL6	-1.933	9.734e-01	-1.921	0.728	0.631	7.737e-01
ZNF584	0.010	4.958e-01	-2.176	0.658	0.631	7.737e-01
SPI1	-8.954	1.000e+00	-2.268	0.784	0.631	7.743e-01
GTF3C2	-0.055	5.218e-01	-2.557	0.672	0.634	7.801e-01
ZNF26	-1.140	8.729e-01	-0.058	0.588	0.635	7.813e-01
SCRT1	-1.012	8.443e-01	-1.058	0.649	0.635	7.820e-01
PITX3	-0.817	7.932e-01	-0.641	0.607	0.635	7.820e-01
HNF1A	-1.893	9.708e-01	-0.203	0.641	0.636	7.832e-01
WHSC1	-0.176	5.698e-01	-1.734	0.646	0.636	7.832e-01
HDGF	-0.659	7.451e-01	-2.717	0.704	0.637	7.845e-01
ZNF263	-0.316	6.238e-01	-1.977	0.665	0.637	7.845e-01
ZFP64	-1.015	8.449e-01	-1.708	0.682	0.638	7.870e-01
STAG1	-4.537	1.000e+00	-0.774	0.690	0.638	7.870e-01
CD59	-0.207	5.820e-01	-1.588	0.641	0.638	7.876e-01
POLR3D	-4.904	1.000e+00	-0.984	0.698	0.640	7.907e-01
MAFK	-2.143	9.840e-01	-1.233	0.690	0.641	7.925e-01
ERCC2	-0.577	7.182e-01	-1.061	0.620	0.641	7.925e-01
SMARCA2	-1.725	9.578e-01	0.197	0.603	0.642	7.938e-01
RAG2	0.238	4.059e-01	-3.248	0.669	0.642	7.944e-01
CHD5	-0.923	8.220e-01	-0.593	0.602	0.643	7.956e-01
ZNF441	-0.061	5.242e-01	-2.094	0.650	0.643	7.962e-01
E2F5	-0.101	5.403e-01	-2.165	0.655	0.644	7.968e-01
ZNF24	-0.410	6.593e-01	-3.089	0.694	0.645	7.986e-01
CCNT2	0.183	4.275e-01	-3.070	0.665	0.647	8.017e-01
BHLHE40	-0.623	7.332e-01	-4.287	0.718	0.647	8.023e-01
ERCC3	-0.444	6.713e-01	-1.362	0.628	0.648	8.041e-01
TRIM25	-0.856	8.041e-01	-1.622	0.664	0.650	8.064e-01
KLF11	-0.122	5.487e-01	-2.476	0.664	0.651	8.082e-01
ZBTB48	-2.948	9.984e-01	-1.250	0.697	0.651	8.094e-01
ZNF490	-1.399	9.190e-01	0.163	0.563	0.651	8.094e-01
KDM4A	-1.076	8.590e-01	-1.169	0.648	0.652	8.100e-01
MGEA5	-0.167	5.664e-01	-1.923	0.643	0.654	8.135e-01
ZNF740	-0.220	5.871e-01	-3.439	0.688	0.654	8.140e-01
CBFA2T2	-0.554	7.104e-01	-1.308	0.621	0.654	8.140e-01
KDM1B	-1.441	9.252e-01	0.243	0.559	0.655	8.158e-01
CEBPG	-1.959	9.750e-01	-0.064	0.614	0.656	8.175e-01
STAT1	-1.059	8.552e-01	-3.064	0.716	0.656	8.175e-01
ZNF382	-1.848	9.677e-01	-0.733	0.650	0.656	8.175e-01
CHAMP1	-0.357	6.395e-01	-1.764	0.642	0.658	8.203e-01
ZNF282	-0.389	6.514e-01	-1.731	0.639	0.659	8.220e-01
BATF	-2.060	9.803e-01	-1.092	0.672	0.660	8.226e-01
SIRT6	-0.559	7.120e-01	-1.332	0.621	0.660	8.237e-01
USF2	-0.595	7.240e-01	-3.966	0.704	0.661	8.248e-01
PBX3	-1.169	8.788e-01	-2.581	0.705	0.661	8.254e-01
TEAD4	-3.460	9.997e-01	-1.020	0.686	0.662	8.259e-01
SP7	-0.201	5.795e-01	-2.031	0.645	0.662	8.259e-01
TEAD2	-0.649	7.418e-01	-1.383	0.631	0.662	8.259e-01
ZKSCAN8	-0.030	5.120e-01	-2.731	0.660	0.662	8.265e-01
SMARCB1	-0.792	7.859e-01	-3.101	0.699	0.664	8.287e-01
YBX1	-2.392	9.916e-01	-0.162	0.626	0.664	8.287e-01
CEBPA	-2.917	9.982e-01	-2.386	0.742	0.664	8.298e-01
LMTK3	-1.324	9.072e-01	-0.860	0.630	0.664	8.298e-01
NFE2	-1.198	8.846e-01	-2.872	0.711	0.665	8.309e-01
MEF2C	-0.578	7.185e-01	-1.355	0.620	0.666	8.320e-01
LARP7	-1.516	9.353e-01	-1.391	0.670	0.666	8.325e-01
JUN	-4.539	1.000e+00	-1.464	0.709	0.666	8.325e-01
ZNF623	-0.147	5.585e-01	-2.358	0.650	0.667	8.336e-01
TRAF7	-0.399	6.549e-01	-3.674	0.690	0.667	8.341e-01
ZSCAN29	-0.113	5.451e-01	-2.809	0.660	0.669	8.373e-01
DDX20	-1.091	8.624e-01	-1.493	0.656	0.670	8.379e-01
BANF1	-1.581	9.431e-01	-0.600	0.621	0.670	8.379e-01
NEUROD1	-2.661	9.961e-01	-1.170	0.681	0.671	8.400e-01
PBX2	-0.752	7.738e-01	-2.446	0.679	0.671	8.400e-01
HNF1B	-1.283	9.002e-01	-0.313	0.576	0.672	8.410e-01
ZNF554	-0.439	6.696e-01	-1.676	0.628	0.672	8.415e-01
CEBPD	-0.788	7.847e-01	-2.542	0.683	0.673	8.420e-01
KLF16	-0.871	8.082e-01	-1.184	0.618	0.673	8.431e-01
ZNF586	-1.627	9.481e-01	0.239	0.535	0.675	8.457e-01
SSU72	-1.107	8.657e-01	-0.677	0.591	0.675	8.462e-01
ZBTB6	-0.474	6.821e-01	-2.091	0.648	0.677	8.482e-01
GRHL3	-1.799	9.640e-01	-0.684	0.631	0.677	8.482e-01
NFRKB	0.039	4.846e-01	-3.221	0.657	0.677	8.487e-01
MBD3	-1.202	8.854e-01	-1.728	0.666	0.678	8.492e-01
MAML3	-2.890	9.981e-01	0.688	0.562	0.679	8.512e-01
CBX3	-1.705	9.559e-01	-0.650	0.625	0.679	8.517e-01
TRIM22	-1.193	8.835e-01	-0.907	0.610	0.680	8.522e-01
NCOA1	-0.129	5.514e-01	-2.597	0.649	0.680	8.527e-01
ZNF136	-1.620	9.474e-01	0.093	0.536	0.682	8.547e-01
ZNF133	-1.319	9.064e-01	-0.386	0.572	0.682	8.557e-01
NKX2-1	-2.310	9.896e-01	-0.985	0.656	0.683	8.567e-01
ZBTB42	-0.518	6.976e-01	-1.694	0.624	0.683	8.571e-01
PML	-1.464	9.284e-01	-3.792	0.725	0.684	8.586e-01
ZNF362	-0.893	8.141e-01	-1.312	0.618	0.686	8.605e-01
BRD7	-0.305	6.196e-01	-2.238	0.635	0.689	8.648e-01
MIER1	-0.350	6.369e-01	-2.345	0.645	0.689	8.653e-01
ZNF780A	-0.830	7.969e-01	-1.277	0.607	0.689	8.653e-01
OTX2	-5.955	1.000e+00	-0.537	0.649	0.690	8.657e-01
CREBBP	-1.773	9.619e-01	-3.990	0.738	0.690	8.657e-01
ZNF175	-1.223	8.894e-01	-1.381	0.641	0.691	8.667e-01
ZBTB2	-1.566	9.413e-01	-0.513	0.592	0.691	8.676e-01
KMT2A	-1.568	9.416e-01	-3.946	0.726	0.692	8.680e-01
IRF1	-1.889	9.706e-01	-2.458	0.707	0.692	8.680e-01
CD74	-1.326	9.076e-01	-2.170	0.681	0.693	8.694e-01
GTF2I	-4.349	1.000e+00	-2.270	0.724	0.695	8.722e-01
ORC2	-0.158	5.626e-01	-2.693	0.644	0.695	8.726e-01
USF1	-0.629	7.354e-01	-4.020	0.688	0.696	8.731e-01
ZNF680	-2.649	9.960e-01	-0.508	0.624	0.696	8.731e-01
PARP1	-1.434	9.242e-01	-0.355	0.560	0.696	8.735e-01
STAT3	-1.960	9.750e-01	-1.891	0.689	0.697	8.744e-01
TCF4	-3.187	9.993e-01	-0.995	0.661	0.697	8.749e-01
PAX3	-1.475	9.299e-01	-0.337	0.555	0.698	8.762e-01
ELF3	-1.035	8.497e-01	-1.290	0.613	0.700	8.784e-01
NFIC	-1.062	8.558e-01	-2.174	0.664	0.700	8.788e-01
ZNF750	-0.955	8.303e-01	-1.254	0.600	0.701	8.797e-01
SMAD1	-3.257	9.994e-01	-2.176	0.712	0.702	8.806e-01
ZMYM3	-2.803	9.975e-01	-2.949	0.732	0.702	8.810e-01
PROX1	-0.978	8.360e-01	-1.781	0.642	0.702	8.814e-01
EGR2	-1.231	8.907e-01	-3.192	0.696	0.703	8.827e-01
PRMT1	-1.422	9.225e-01	-0.866	0.601	0.703	8.827e-01
CHAT	-2.191	9.858e-01	0.021	0.553	0.704	8.831e-01
FOSL2	-5.655	1.000e+00	-0.595	0.641	0.704	8.836e-01
POLR2AphosphoS5	-1.026	8.475e-01	-2.097	0.657	0.706	8.857e-01
ZNF304	-0.934	8.249e-01	-1.329	0.601	0.707	8.865e-01
ZNF589	-0.235	5.928e-01	-3.059	0.648	0.708	8.882e-01
NFYB	-0.352	6.377e-01	-4.190	0.668	0.709	8.890e-01
POU2F2	-1.044	8.516e-01	-2.077	0.655	0.709	8.894e-01
ZNF169	-1.289	9.012e-01	-0.793	0.575	0.709	8.894e-01
SMN1	-1.383	9.167e-01	-0.650	0.565	0.710	8.898e-01
ZNF141	-1.186	8.821e-01	-1.024	0.585	0.711	8.914e-01
ZNF17	-1.252	8.947e-01	-0.919	0.579	0.712	8.922e-01
ZEB2	-0.653	7.430e-01	-3.412	0.671	0.714	8.942e-01
PGBD3	-1.113	8.672e-01	-1.099	0.591	0.714	8.942e-01
ING2	-0.176	5.700e-01	-3.113	0.643	0.714	8.942e-01
POU5F1	-5.762	1.000e+00	-0.548	0.630	0.714	8.946e-01
EBF3	-2.263	9.882e-01	-0.323	0.579	0.714	8.946e-01
ZNF134	-0.474	6.823e-01	-2.289	0.626	0.715	8.958e-01
FLI1	-3.375	9.996e-01	-4.018	0.744	0.715	8.962e-01
ZNF182	-1.002	8.418e-01	-1.349	0.598	0.716	8.970e-01
ZNF331	-1.377	9.157e-01	-0.763	0.566	0.716	8.970e-01
ZNF429	-0.893	8.141e-01	-1.496	0.604	0.717	8.978e-01
KDM6B	-0.915	8.198e-01	-1.975	0.635	0.717	8.982e-01
PYGO2	-0.951	8.293e-01	-1.592	0.615	0.717	8.982e-01
TEAD1-TEAD4	-1.121	8.688e-01	-1.140	0.590	0.718	8.986e-01
BRDU	-3.434	9.997e-01	-0.450	0.613	0.718	8.990e-01
DUX4	-2.606	9.954e-01	-0.202	0.575	0.718	8.990e-01
ZKSCAN5	-0.141	5.563e-01	-3.607	0.645	0.719	8.997e-01
ZNF274	-1.974	9.758e-01	-0.397	0.569	0.719	8.997e-01
PCGF2	-1.648	9.503e-01	-0.827	0.595	0.719	9.001e-01
PRDM14	-1.090	8.620e-01	-1.265	0.593	0.720	9.013e-01
CBX5	-1.417	9.217e-01	-1.509	0.634	0.721	9.024e-01
ZNF467	-0.483	6.854e-01	-2.346	0.626	0.721	9.028e-01
EOMES	-2.847	9.978e-01	-0.265	0.583	0.722	9.035e-01
STAT5B	-1.669	9.525e-01	-2.414	0.684	0.724	9.050e-01
